song_id,language,singer,valence,arousal,genre,main_genre
english_I_Fall_in_Love_Too_Easily,English,Chet Baker,0.31,0.23,Jazz Ballad,Jazz
english_Hey!_Lover,English,LL Cool J ft. Boyz II Men,0.7,0.55,Hip-Hop Soul,R&B
english_Are_You_Gonna_Be_My_Girl,English,Jet,0.7,0.85,Garage Rock,Rock
english_Ophelia,English,The Lumineers,0.75,0.65,Indie Folk Rock,Country
english_Opus_(Eric_Prydz_Remix),English,Eric Prydz,0.65,0.85,Progressive House,Electronic
english_The_Very_Thought_of_You,English,Billie Holiday,0.34,0.28,Jazz Vocal,Jazz
english_Time_After_Time,English,Cyndi Lauper,0.7,0.4,Soft Rock,Rock
english_All_of_Me_(Acoustic),English,John Legend,0.68,0.55,Soul Pop Ballad,R&B
english_Boom,English,P.O.D.,0.65,0.9,Rap Rock,Hip-Hop
english_Blue_Suede_Shoes,English,Carl Perkins,0.75,0.7,Rockabilly,Country
english_Good_Days,English,SZA,0.6,0.45,Neo-Soul,R&B
english_Cleopatra,English,The Lumineers,0.6,0.55,Indie Folk,Country
english_God's_Plan,English,Drake,0.65,0.7,Hip-Hop,Hip-Hop
hindi_Param_Sundari,Hindi,Shreya Ghoshal,0.9,0.8,Bollywood Dance Pop,Pop
punjabi_3_Peg,Punjabi,Sharry Mann,0.8,0.85,Punjabi Folk Dance,Country
english_Skinny_Love,English,Bon Iver,0.3,0.4,Indie Folk,Country
punjabi_Khaab,Punjabi,Akhil,0.6,0.5,Punjabi Folk Pop,Country
english_Rather_Be,English,Clean Bandit ft. Jess Glynne,0.85,0.8,Electronic Dance Pop,Electronic
english_Get_Busy,English,Sean Paul,0.9,0.85,Reggae Fusion,R&B
english_Asleep,English,The Smiths,0.15,0.25,Dream Pop,Pop
english_East_of_the_Sun,English,Frank Sinatra,0.38,0.32,Jazz Vocal,Jazz
english_Elastic_Heart,English,Sia,0.5,0.65,Electronic Pop,Electronic
hindi_The_Breakup_Song,Hindi,"Arijit Singh, Badshah",0.85,0.8,Bollywood Dance Pop,Pop
english_Hard_Place,English,H.E.R.,0.4,0.45,R&B,R&B
english_Grindin',English,Clipse,0.35,0.8,Hardcore Hip-Hop,Hip-Hop
hindi_Zinda,Hindi,Siddharth Mahadevan,0.7,0.9,Bollywood Rock,Rock
hindi_Aye_Khuda,Hindi,Salim Merchant,0.46,0.4,Indian Film Sufi Ballad,Classical
hindi_Teri_Deewani,Hindi,Kailash Kher,0.55,0.5,Indian Film Sufi Ballad,Classical
urdu_Tajdar-e-Haram,Urdu,Atif Aslam,0.44,0.34,Sufi Devotional,Classical
english_I'm_Good_(Blue),English,"David Guetta, Bebe Rexha",0.95,0.9,Dance Pop,Pop
hindi_Bhula_Dena,Hindi,Mustafa Zahid,0.28,0.42,Indian Film Sad Ballad,Classical
hindi_Chaiyya_Chaiyya,Hindi,"Sukhwinder Singh, Sapna Awasthi",0.8,0.7,Sufi Pop,Classical
english_Don’t_Go_Yet,English,Camila Cabello,0.75,0.85,Latin Pop,Pop
english_Careless_Whisper,English,George Michael,0.65,0.3,Blue-Eyed Soul,R&B
hindi_Kar_Gayi_Chull,Hindi,"Badshah, Neha Kakkar",0.9,0.9,Bollywood Dance Pop,Pop
english_Bad_and_Boujee,English,Migos ft. Lil Uzi Vert,0.7,0.85,Trap Hip-Hop,Hip-Hop
english_Hip_Hop,English,Dead Prez,0.3,0.8,Hardcore Hip-Hop,Hip-Hop
english_Sunset_Lover,English,Petit Biscuit,0.7,0.6,Ambient Pop,Pop
english_Mass_Appeal,English,Gang Starr,0.77,0.67,Jazz Rap,Jazz
hindi_Mera_Mann,Hindi,Falak Shabir,0.65,0.45,Indian Indie Folk,Country
english_Lost_Cause,English,Beck,0.3,0.35,Alternative Pop,Rock
hindi_Om_Namah_Shivaya,Hindi,Anuradha Paudwal,0.35,0.3,Hindu Devotional,Classical
english_With_or_Without_You,English,U2,0.5,0.4,Alternative Rock,Rock
english_Language,English,Porter Robinson,0.72,0.88,Progressive House,Electronic
english_Don't_Stop_Believin',English,Journey,0.95,0.8,Arena Rock,Rock
